"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.1.6","10.0.0.4","DNS","81","Standard query 0xa0dc A NEWYORK.dmevals.local"
"2","0.001528","10.0.0.4","10.0.1.6","DNS","97","Standard query response 0xa0dc A NEWYORK.dmevals.local A 10.0.0.4"
"3","0.003326","10.0.1.6","10.0.0.4","TCP","66","56880  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.004315","10.0.0.4","10.0.1.6","TCP","66","445  >  56880 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1418 WS=256 SACK_PERM=1"
"5","0.004369","10.0.1.6","10.0.0.4","TCP","54","56880  >  445 [ACK] Seq=1 Ack=1 Win=524544 Len=0"
"6","0.004434","10.0.1.6","10.0.0.4","SMB","127","Negotiate Protocol Request"
"7","0.006122","10.0.0.4","10.0.1.6","SMB2","306","Negotiate Protocol Response"
"8","0.006262","10.0.1.6","10.0.0.4","SMB2","308","Negotiate Protocol Request"
"9","0.007027","10.0.0.4","10.0.1.6","SMB2","366","Negotiate Protocol Response"
"10","0.008232","10.0.1.6","10.0.0.4","SMB2","3219","Session Setup Request"
"11","0.008876","10.0.0.4","10.0.1.6","TCP","54","445  >  56880 [ACK] Seq=565 Ack=3493 Win=4197120 Len=0"
"12","0.010327","10.0.0.4","10.0.1.6","SMB2","315","Session Setup Response"
"13","0.010634","10.0.1.6","10.0.0.4","SMB2","186","Tree Connect Request Tree: \\\\NEWYORK.dmevals.local\\IPC$"
"14","0.012115","10.0.0.4","10.0.1.6","SMB2","138","Tree Connect Response"
"15","0.012206","10.0.1.6","10.0.0.4","SMB2","178","Ioctl Request FSCTL_QUERY_NETWORK_INTERFACE_INFO"
"16","0.012268","10.0.1.6","10.0.0.4","SMB2","182","Ioctl Request FSCTL_DFS_GET_REFERRALS, File: "
"17","0.012897","10.0.0.4","10.0.1.6","TCP","54","445  >  56880 [ACK] Seq=910 Ack=3877 Win=4196864 Len=0"
"18","0.012909","10.0.0.4","10.0.1.6","SMB2","474","Ioctl Response FSCTL_QUERY_NETWORK_INTERFACE_INFO"
"19","0.012926","10.0.0.4","10.0.1.6","SMB2","262","Ioctl Response FSCTL_DFS_GET_REFERRALS"
"20","0.012937","10.0.1.6","10.0.0.4","TCP","54","56880  >  445 [ACK] Seq=3877 Ack=1538 Win=524544 Len=0"
"21","10.762167","10.0.1.6","10.0.0.4","SMB2","126","Tree Disconnect Request"
"22","10.763324","10.0.0.4","10.0.1.6","SMB2","126","Tree Disconnect Response"
"23","10.763433","10.0.1.6","10.0.0.4","SMB2","126","Session Logoff Request"
"24","10.764319","10.0.0.4","10.0.1.6","SMB2","126","Session Logoff Response"
"25","10.764403","10.0.1.6","10.0.0.4","TCP","54","56880  >  445 [RST, ACK] Seq=4021 Ack=1682 Win=0 Len=0"
"26","80.129506","10.0.1.6","10.0.0.4","DNS","78","Standard query 0xd1de A wpad.dmevals.local"
"27","80.131105","10.0.0.4","10.0.1.6","DNS","146","Standard query response 0xd1de No such name A wpad.dmevals.local SOA newyork.dmevals.local"
"28","123.561173","10.0.1.6","10.0.1.255","BROWSER","243","Host Announcement NASHUA, Workstation, Server, NT Workstation"
"29","191.009344","10.0.1.6","10.0.0.4","NTP","162","NTP Version 3, client"
"30","191.012413","10.0.0.4","10.0.1.6","NTP","162","NTP Version 3, server"
"31","523.478798","10.0.1.6","10.0.0.4","DNS","77","Standard query 0xf73e A wec.dmevals.local"
"32","523.480070","10.0.0.4","10.0.1.6","DNS","93","Standard query response 0xf73e A wec.dmevals.local A 10.0.1.10"
"33","680.227551","10.0.1.6","10.0.0.4","DNS","78","Standard query 0x96e7 A wpad.dmevals.local"
"34","680.228774","10.0.0.4","10.0.1.6","DNS","146","Standard query response 0x96e7 No such name A wpad.dmevals.local SOA newyork.dmevals.local"
"35","841.120743","10.0.1.6","10.0.1.255","BROWSER","243","Host Announcement NASHUA, Workstation, Server, NT Workstation"
"36","848.657225","10.0.1.6","10.0.0.4","CLDAP","245","searchRequest(53) ""<ROOT>"" baseObject "
"37","848.658297","10.0.0.4","10.0.1.6","CLDAP","216","searchResEntry(53) ""<ROOT>"" searchResDone(53) success  [1 result]"
"38","848.767265","10.0.1.6","10.0.0.4","TCP","66","56953  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"39","848.767978","10.0.0.4","10.0.1.6","TCP","66","135  >  56953 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1418 WS=256 SACK_PERM=1"
"40","848.768015","10.0.1.6","10.0.0.4","TCP","54","56953  >  135 [ACK] Seq=1 Ack=1 Win=524544 Len=0"
"41","848.768061","10.0.1.6","10.0.0.4","DCERPC","214","Bind: call_id: 2, Fragment: Single, 3 context items: EPMv4 V3.0 (32bit NDR), EPMv4 V3.0 (64bit NDR), EPMv4 V3.0 (6cb71c2c-9812-4540-0300-000000000000)"
